	entities	total_count
517	covid 19 associated multisystem inflammatory syndrome in children	8
483	coronavirus 19 (covid 19) disease	8
447	2019 novel corona virus disease	8
585	respiratory infectious disease caused by sars cov 2	7
473	disease caused by 2019 ncov	7
478	acute respiratory syndrome (sars) due to coronavirus (cov) 2	7
572	respiratory syndrome due to sars cov 2	7
643	novel coronavirus infection disease	7
593	coronavirus pneumonias	7
693	novel coronavirus 2 infection	7
549	2019 novel corona virus infection	7
485	pneumonia due to severe acute respiratory syndrome coronavirus 2	7
493	sars cov 2 respiratory disease	7
496	illness from severe acute respiratory syndrome coronavirus 2	7
512	coronavirus infection (covid 19) caused by sars cov 2	7
742	disease caused by novel corona virus	6
641	sars cov 2 associated coronavirus disease	6
640	syndrome caused by novel coronavirus	6
635	multisystem inflammatory disorder in children	6
741	disease caused by novel corona	6
707	disease from coronavirus	6
677	coronavirus respiratory syndrome	6
612	disorder caused by severe acute respiratory syndrome coronavirus 2	6
597	novel coronavirus disease caused by sars cov 2	6
697	severe acute respiratory syndrome coronavirus 2 (sars cov 2) associated disease	6
744	pneumonia due to sars cov2	6
524	coronavirus that causes covid 19 disease	6
590	infection from coronavirus	6
509	coronavirus (sars cov 2) causing covid 19 disease	6
571	coronavirus disease (covid 19) caused by sars cov 2 virus	6
542	ards caused by sars cov2	6
543	disease due to coronavirus 2019	6
567	pneumonia caused by sars cov 2 virus	6
546	infectious disease caused by novel coronavirus	6
673	corona disease 19	5
559	coronavirus acute respiratory infection	5
569	coronavirus pneumonia (covid 19) caused by sars cov 2	5
564	coronavirus 2019 pneumonia	5
558	covid 19 associated infection	5
588	2019 cov disease	5
798	sars cov 2 infection disease	5
556	coronavirus 19 (covid 19) pneumonia	5
566	sars cov 2 severe pneumonia	5
789	covid 19 infectious pneumonia	5
639	coronavirus disease 19 pneumonia	5
670	virus responsible for covid 19 disease	5
811	novel corona disease	5
578	sars cov 2 virus syndrome	5
680	cov 2 syndrome	5
579	cov 2 virus syndrome	5
609	infection caused by sars cov 2 virus	5
581	coronavirus 2019 illness	5
992	corona diseases	5
583	respiratory disease due to sars cov 2	5
596	new coronavirus related disease	5
740	sars cov2 related illness	5
703	infectious disease caused by novel severe acute respiratory syndrome coronavirus 2	4
701	disease caused by novel severe acute respiratory syndrome coronavirus 2	4
710	coronavirus disease (covid 19) due to sars cov 2	4
694	infections due to sars cov 2	4
793	disease due to severe acute respiratory syndrome coronavirus 2	4
753	severe acute respiratory syndrome coronavirus 2 (sars cov 2) associated pneumonia	4
778	corona illness	4
691	corona respiratory syndrome	4
804	disease caused by corona	4
836	coronavirus acute respiratory syndrome	4
856	disease caused by severe acute respiratory syndrome coronavirus 2 (sars cov 2) virus	4
888	pneumonia caused by sars cov2	4
929	novel corona infection	4
1024	disease caused by 2019 new coronavirus	4
970	2019 novel coronavirus severe acute respiratory syndrome	4
651	sars corona virus 2 infection	4
690	infections caused by sars cov 2 virus	4
602	pneumonia from severe acute respiratory syndrome coronavirus 2	4
647	wuhan coronavirus infection	4
654	novel sars cov 2 coronavirus infection	4
656	coronavirus infection 19	4
646	acute respiratory syndrome coronavirus 2 (sar cov 2) infection	4
634	infection caused by 2019 ncov	4
632	sars cov 2 severe disease	4
630	novel coronavirus infection caused by sars cov 2	4
657	novel sars cov 2 disease	4
613	disease caused by sars cov 19	4
648	2019 cov pneumonia	4
663	sars cov 2 associated infection	4
665	sars cov 2 related syndromes	4
669	2019 severe acute respiratory syndrome coronavirus 2 infection	4
658	disease caused by covid 19 virus	4
601	pneumonia due to sars cov 2 virus	4
687	covs disease	4
600	new coronavirus 2019 disease	4
689	covid 19 related respiratory illness	4
671	coronavirus infections 2019	4
675	2019 ncov virus infection	4
599	virus that causes covid 19 infection	4
679	disease caused by 2019 novel coronavirus	4
678	sars cov 2 coronavirus infections	4
931	sarscov2 pneumonia	3
800	coronavirus disease due to sars cov 2	3
801	covid 19 infection pneumonia	3
802	covid 19 related syndrome	3
805	new corona virus pneumonia	3
808	virus responsible for covid 19 infection	3
809	virus causing covid 19 infection	3
817	coronavirus disease 2019 (covid 19) associated illness	3
812	corona syndrome	3
1071	2019 new coronavirus pneumonia	3
1146	severe acute respiratory syndrome coronavirus 2 (sars cov 2) virus infection	3
848	new sars cov2 infection	3
1051	severe acute respiratory syndrome coronavirus 2 (sars cov 2) associated infection	3
874	covid 19 related respiratory disease	3
1052	disease caused by severe acute respiratory syndrome coronavirus2	3
1066	coronavirus pneumonia caused by sars cov 2	3
934	illness caused by sars cov2	3
1078	infection caused by severe acute respiratory syndrome corona virus 2	3
797	disorder caused by sars cov 2	3
841	illness due to severe acute respiratory syndrome coronavirus 2	3
791	coronavirus pneumonia 19	3
721	sars cov 2 associated syndrome	3
756	diseases caused by novel coronavirus	3
754	pneumonia from coronavirus	3
749	pneumonia caused by 2019 new coronavirus	3
790	infection from covid 19 virus	3
735	19 coronavirus pneumonia	3
733	infectious disease caused by coronavirus 19	3
730	syndrome from sars cov 2	3
720	disease caused by coronavirus 2019	3
760	disease caused by severe acute respiratory syndrome associated coronavirus 2	3
715	coronavirus respiratory illness	3
712	respiratory infection caused by 2019 ncov	3
708	syndrome from sars cov 2 coronavirus	3
704	novel coronavirus that causes covid 19 disease	3
702	novel coronavirus syndrome	3
700	acute respiratory disease coronavirus 2 (sars cov 2) infection	3
699	coronavirus responsible for covid 19 disease	3
759	2019 sars cov 2 disease	3
1000	sars cov 2 syndrome	3
773	sars cov 2 respiratory syndrome	3
774	sars cov 2 related acute respiratory distress syndrome	3
767	infection caused by novel coronavirus 2019	3
788	sars cov 2 related diseases	3
762	tlr7 deficiency	3
769	severe acute respiratory syndrome type 2	3
777	disease caused by severe acute respiratory syndrome related coronavirus 2	3
771	coronavirus respiratory infection	3
776	sars cov 2 acute respiratory syndrome	3
783	cov2 coronavirus disease	3
784	coronavirus disease associated pneumonia	3
1048	covid 19 infectious syndrome	2
1053	infection caused by corona	2
1211	illness caused by novel corona	2
1055	virus responsible for covid 19 severe acute respiratory syndrome	2
1043	novel coronavirus (2019 ncov) acute respiratory disease infections	2
1067	2019 novel coronaviruses disease	2
1068	disease from sars cov2	2
1069	infectious respiratory illness caused by sars cov 2	2
1047	diseases from sars cov 2	2
1039	ncov 2 infection	2
1040	cov2 coronavirus infection	2
1072	acute respiratory distress syndrome (sars) due to sars cov 2	2
1036	pneumonia caused by severe acute respiratory syndrome coronavirus 2 virus	2
1033	coronavirus 19 pneumonia	2
1029	infectious disease caused by 2019 ncov	2
1027	paediatric inflammatory multisystem disorder	2
1023	infectious coronavirus that causes covid 19 disease	2
1022	illness due to sars cov 2 coronavirus	2
1021	novel sars cov 2 coronavirus disease	2
1014	multisystem inflammatory syndrome in children associated with coronavirus disease 2019	2
1010	pneumonia (covid 19) caused by novel coronavirus	2
1009	infection caused by 2019 novel coronavirus	2
1004	syndrome caused by novel coronavirus 2	2
1003	corona (covid 19) disease	2
1381	covid 19 infection disease	2
1073	sars cov 2 related pneumonias	2
1210	illness caused by novel corona virus	2
1233	illness from sars cov2	2
1119	pneumonia caused by new corona	2
1121	pneumonia caused by new corona virus	2
1123	cov2 respiratory infection	2
1124	sars cov 2 novel coronavirus disease	2
1126	sars cov2 respiratory infection	2
1129	disease caused by severe acute respiratory syndrome virus 2	2
1131	severe acute respiratory syndrome   coronavirus   2 (sars cov 2) virus infection	2
1118	infection from novel corona	2
1132	coronavirus disease 2019 related illness	2
1133	disease (covid 19) due to severe acute respiratory syndrome coronavirus 2	2
1134	ncov 2019 infection	2
1232	disease (covid 19) caused by novel coronavirus	2
998	infection caused by sars cov 2 coronavirus	2
1207	syndrome due to novel coronavirus	2
1235	infectious disease caused by novel corona	2
1114	infection from novel corona virus	2
1376	covid19 virus infection	2
1094	corona virus infection 2019	2
1080	sars cov2 illness	2
1084	2019 coronavirus (covid 19) disease	2
1085	syndrome caused by sars cov2	2
1089	novel coronavirus pneumonia (ncp) caused by sars cov 2	2
1091	corona pneumonia	2
1092	infectious pneumonia caused by sars cov 2	2
1096	syndrome due to coronaviruses	2
1113	new coronavirus 2019 infection	2
1362	illness caused by severe acute respiratory syndrome corona virus 2	2
1102	infection caused by severe acute respiratory syndrome coronavirus 2 virus	2
1103	multisystem inflammatory disease in children associated with covid 19	2
1106	new sars cov2 disease	2
1243	disease caused by severe acute respiratory syndrome coronavirus 2 virus	2
1110	cov2 illness	2
1100	severe acute respiratory syndrome coronavirus (sars cov) 2 related disease	2
1054	novel coronavirus 2019 pneumonia	2
997	disease caused by coronaviruses	2
882	sars cov 2 related infections	2
861	infection from acute respiratory syndrome coronavirus 2	2
862	novel coronavirus 2 severe acute respiratory syndrome	2
866	illness caused by novel coronavirus	2
867	virus 2 (sars cov 2) disease	2
879	severe acute respiratory syndrome corona virus 2 pneumonia	2
880	pneumonia due to severe acute respiratory syndrome corona virus 2	2
889	infection caused by new sars cov 2 coronavirus	2
857	novel coronavirus respiratory illness	2
890	infection caused by new sars cov 2	2
892	sars cov 19 pneumonia	2
893	covid related pneumonias	2
904	novel severe acute respiratory syndrome coronavirus 2 (sars cov 2) infectious disease	2
905	novel coronavirus that causes covid 19 infection	2
907	illness caused by novel severe acute respiratory syndrome coronavirus 2	2
860	illness due to novel severe acute respiratory syndrome coronavirus 2	2
855	wuhan infection	2
909	novel corona virus illness	2
