	entities	total_count
498	be variant	3
495	ay.99	3
500	lineage ba.2.12.1	3
501	ay.25	3
658	b.1.530	2
660	b.1.549	2
661	b.1.177.75 lineage	2
649	n.8	2
662	ba.2.12.2	2
656	gra clade	2
655	gh/490r	2
653	n.10 variant	2
652	lp variant	2
651	b.1.298	2
657	ne lineage	2
644	ae.1 lineage	2
648	ba.1.15	2
647	q.4	2
646	ay.25.1	2
665	variant m	2
643	b.1.1.39 lineage	2
642	b.1.1.39	2
641	lineage b.1.8	2
640	b.40	2
637	be lineage	2
636	clade 20h	2
635	b.1.1.161	2
634	b.1.633	2
633	23d	2
639	b.39	2
687	p.3 variant	2
666	lineage p	2
668	b.1.1.248 variant	2
849	c.4	2
862	c.3	2
825	zeta variant	2
923	lineage b.1.1.523	2
768	theta variant	2
710	lineage b.1.621	2
709	n.1	2
705	ay.126	2
703	xes	2
698	c.17	2
695	ay.43 lineage	2
694	ay.13	2
691	b.1.1.31	2
688	b.1.1.351	2
630	lineage a.2.2	2
686	au variant	2
685	lineage a.6	2
684	b.58	2
681	lineage a.2	2
680	b.1.1.189	2
679	b.1.540	2
678	b.1.428.2	2
677	bangladesh/bcsir nilmrc 006/2020	2
676	b.1.1.348	2
674	b.1.91 lineage	2
672	b.1.525 variant	2
671	gg variant	2
670	b.1.1.269	2
669	ba.2.9.1	2
631	b.1.1.259	2
673	b.1.1.345 variant	2
629	xds	2
573	b.1.1.212	2
589	c.16	2
588	lineage ay.3	2
586	ay.45	2
585	b.1.1.162	2
584	variant n	2
583	a.23.1 variant	2
582	ay.30	2
580	a.23.1 lineage	2
579	b.1.525 lineage	2
578	b.1.1.318 variant	2
577	lineage ay.4	2
576	b.1.1.70	2
575	lineage b.1.232	2
574	23h	2
571	b.1.619	2
591	b.1.1.207	2
570	av.1	2
569	b.1.351.3	2
568	variant b.1.1.222	2
567	shenzhen/ivdc 0610 01/2021	2
566	b.1.1.371	2
565	b.1.1.117 lineage	2
564	b.1.1.117	2
563	variant b.1.429	2
558	b.1.1.374	2
559	24g	2
627	variant pa	2
562	b.1.369	2
561	b.1.1.388	2
560	xdn	2
590	b.4.1	2
557	b.1.243.1 variant	2
592	b.1.494	2
608	n.7 lineage	2
624	a.4	2
622	b.1.232	2
593	b.1.1.312	2
625	finland/1/2020	2
620	b.1.1.429	2
618	l clade	2
626	b.1.1.523 variant	2
616	lineage b.1.466.2	2
615	b.1.9	2
614	variant du	2
613	xem	2
612	v clade	2
611	b.1.566	2
609	b.1.620 lineage	2
619	lineage b.1.221	2
606	lineage b.1.429	2
598	b.1.459	2
594	b.1.1.298 lineage	2
595	b.1.1.10	2
605	b.1.616 variant	2
596	aa variant	2
597	variant g	2
623	de variant	2
604	b.1.1.163	2
599	p variant	2
603	b.1.214	2
600	lineage xb	2
602	b.1.1.74	2
601	b.1.634	2
896	ay.26 lineage	1
898	b.1.1 variant	1
897	ay.26	1
921	xbb	1
925	b.1.1.407	1
895	ay.13 lineage	1
894	variant ay.13	1
893	ga.3	1
892	variant p	1
890	20d clade	1
900	lineage b.1.36.16	1
902	lineage b.1.427	1
901	finland/fin 25/2020	1
903	xcp	1
904	variant br	1
907	b.1.497 lineage	1
912	cn variant	1
914	b.1.640 variant	1
917	ba.3 lineage	1
918	b.1.1.119 lineage	1
919	ba.1.17	1
920	b.1.1.25 variant	1
889	ft.4	1
908	b.1.1.36	1
877	lineage b.1.177.51	1
888	k.1	1
887	b.41	1
856	xj lineage	1
858	b.1.1.305	1
927	b.1.1.373	1
859	b.1.1.218	1
860	b.1.1.159	1
861	b.31	1
863	variant ck	1
866	b.35	1
868	lineage a.23	1
869	p.4 lineage	1
871	b.1.1.212 lineage	1
872	ga.2	1
873	b.1.222	1
874	variant b.1.222	1
875	mc lineage	1
876	b.1.177.51	1
878	bp variant	1
879	england/milk 155f811/2021	1
880	india/gj ncdc niv insacog 24095/2021	1
881	b.55	1
882	clade 21c	1
883	taiwan/4/2020	1
884	b.1.621.1	1
885	21f	1
886	kr.1	1
926	xa lineage	1
958	variant n.9	1
929	b.1.1.152	1
977	lineage ay.44	1
962	ay.101	1
963	ay.44	1
964	b.1.1.1 lineage	1
966	nc variant	1
967	b.1.177.21	1
969	b.1.141 variant	1
971	b.1.1.44	1
972	lineage b.1.1.44	1
973	mu lineage	1
974	b.1.214.1 variant	1
975	az.5	1
976	b.1.625 lineage	1
979	lineage ba.4	1
930	b.1.627	1
982	b.1.1.254	1
983	b.1.214.1 lineage	1
984	at.1 variant	1
985	b.1.470 variant	1
986	b.1.466.2 variant	1
987	variant aa	1
988	lineage b.1.617.1	1
990	21e	1
991	b.1.139	1
992	variant hb	1
